Model,MAE,MSE,R2
LinearRegression,82657.94605892441,10549721686.160313,0.9146454505137985
RobustRegression,199465.5595542933,61664910393.24952,0.5010881990728175
RidgeRegression,82659.67244409773,10549745186.670168,0.9146452603784101
LassoRegression,82657.94662172231,10549717660.356379,0.9146454830853384
ElasticNet,99126.80843102589,15081376466.559586,0.8779812271613102
PolynomialRegression,82894.44736544162,10604968591.595125,0.9141984648146325
SGDRegressor,2.1403215387066688e+18,4.6729683818331125e+36,-3.7807548185643015e+25
ANN,199121.06654102803,61419239603.397934,0.5030758457817548
RandomForest,98574.02777299329,14990165289.34861,0.8787191887085957
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
